HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,Parkinglot_Group
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,346017,"(1200, 1400]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,150442,
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,61946,"(0, 200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,165486,"(600, 800]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,311504,"(400, 600]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,118584,"(0, 200]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,326548,"(600, 800]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,143362,"(600, 800]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,172566,"(200, 400]"
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,99823,"(0, 200]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,211504,
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,305309,"(1000, 1200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,145132,"(600, 800]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,209734,"(200, 400]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,168141,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,144752,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,389380,"(800, 1000]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,347787,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,263345,"(800, 1000]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,207079,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,"(800, 1000]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,200000,"(400, 600]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,85132,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,245132,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,256637,"(1200, 1400]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,207964,"(0, 200]"
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,371681,"(200, 400]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,442477,"(600, 800]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,435398,"(600, 800]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920,"(600, 800]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,280530,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,207964,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,371681,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,163716,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,263716,"(600, 800]"
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,286725,"(200, 400]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,138938,"(400, 600]"
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,57522,"(200, 400]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,302654,"(400, 600]"
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,391150,"(1200, 1400]"
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,215176,"(400, 600]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,75221,"(0, 200]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,476106,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,241592,"(400, 600]"
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,914,411504,"(1200, 1400]"
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,123008,
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,115929,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,269026,"(1200, 1400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,348672,"(1200, 1400]"
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,295575,"(400, 600]"
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,61946,"(0, 200]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,309292,"(1000, 1200]"
